267	AMD A6-3420M	4MB	35	1500	4/4	2305
268	AMD A8-5545M	4MB	19	1700	4/4	0
269	AMD A6-3400M	4MB	35	1400	4/4	2135
270	AMD A8-4555M	4MB	19	1600	4/4	1876
271	Intel Celeron B840	 + 2MB	35	1900	2/2	0
272	AMD A6-5350M	1MB	35	2900	2/2	1649
273	AMD A6-5357M	1MB	35	2900	2/2	0
274	Intel Pentium N3540	2MB	8	2160	4/4	0
275	AMD A6-5200	2MB	25	2000	4/4	2659
276	Intel Celeron B830	 + 2MB	35	1800	2/2	0
277	AMD A4-3330MX	2MB	45	2200	2/2	0
278	AMD A4-5150M	1MB	35	2700	2/2	1881
279	AMD A6-4400M	1MB	35	2700	2	1804
280	Intel Pentium J2900	2MB	10	2410	4/4	0
281	AMD A4-4300M	1MB	35	2500	2	1684
282	Samsung Exynos 7420 Octa		0	2100	8/8	0
283	Intel Pentium N3530	2MB	8	2160	4/4	0
284	Intel Celeron 1017U	512KB + 2M	17	1600	2/2	1719
285	Intel Celeron 3205U	512KB + 2M	15	1500	2/2	0
286	Intel Celeron B820	512KB + 2M	35	1700	2/2	0
287	Intel Pentium N3700	2MB	6	1600	4/4	0
288	Intel Pentium J2850	2MB	10	2400	4/4	0
289	Intel Pentium N3520	2MB	8	2167	4/4	2320
290	Intel Celeron J1900	2MB	10	2000	4/4	0
291	Intel Atom x7-Z8700	2MB	0	1600	4/4	0
292	Intel Core i3-4010Y	512KB + 3M	12	1300	2/4	0
293	AMD E2-7110	2MB	12	0	4/4	0
294	AMD A4-6210	2MB	15	1800	4/4	2398
295	Qualcomm Snapdragon 810 MSM8994		0	2000	8/8	0
296	Qualcomm Snapdragon 808 MSM8992		0	2000	6/6	0
297	Intel Atom Z3795	2MB	0	1590	4/4	2145
298	Intel Atom Z3785	2MB	0	1490	4/4	0
299	Intel Atom Z3775	2MB	0	1460	4/4	2195
300	Intel Atom Z3775D	2MB	0	1490	4/4	0
301	Intel Atom Z3770	2MB	0	1460	4/4	2212
302	Intel Atom Z3770D	2MB	0	1500	4/4	0
303	Intel Atom x5-Z8500	2MB	0	1440	4/4	0
304	Intel Celeron N2940	2MB	8	1830	4/4	2191
305	Intel Celeron 2957U	512KB + 2M	15	1400	2/2	0
306	Intel Celeron 2955U	512KB + 2M	15	1400	2/2	1520
307	Intel Celeron 1007U	512KB + 2M	17	1500	2/2	1610
308	Intel Celeron N3150	2MB	6	1600	4/4	0
309	Intel Celeron N2930	2MB	8	1830	4/4	2214
310	Intel Celeron J1850	2MB	10	2000	4/4	0
311	Intel Pentium N3510	2MB	8	2000	4/4	2003
312	Intel Celeron B815	 + 2MB	35	1600	2/2	1645
313	Intel Celeron B810	 + 2MB	35	1600	2/2	1633
314	Intel Celeron N2920	2MB	8	1860	4/4	1860
315	Intel Core i3-3229Y	512KB + 3M	13	1400	2/4	1556
316	Intel Core i3-2377M	512KB + 3M	17	1500	2/4	1808
317	Intel Core i3-2375M	512KB + 3M	17	1500	2/4	0
318	Intel Core i3-2367M	512KB + 3M	17	1400	2/4	1689
319	Intel Core i3-2365M	512KB + 3M	17	1400	2/4	1659
320	Nvidia Tegra X1	2.5MB	0	0	8/8	0
321	AMD A4-5100	2MB	15	1550	4/4	0
322	AMD A4-5050	2MB	14	1550	4/4	0
323	AMD A4-5000	2MB	15	1500	4/4	2038
324	AMD E2-6110	2MB	15	1500	4/4	0
325	Intel Atom E3845	2MB	10	1910	4/4	0
326	Apple A8X	2MB + 4MB	0	1500	3/3	0
327	Nvidia Tegra K1 (Denver)	2MB	0	2300	2/2	0
328	Mediatek MT8173		0	2400	4/4	0
329	AMD A10 Micro-6700T	2MB	5	1200	4/4	0
330	AMD A4-3310MX	2MB	45	2100	2/2	0
331	AMD A4-3320M	2MB	35	2000	2/2	0
332	Mediatek MT6595 Turbo	2MB	0	2500	8/8	0
333	Samsung Exynos 5433 Octa		0	1900	8/8	0
334	Apple A8	1MB + 4MB	0	1400	2/2	0
335	Nvidia Tegra K1	2MB	0	2300	4/4	0
336	Qualcomm Snapdragon 805 APQ8084	2MB	0	2700	4/4	0
337	Intel Atom Z3580	2MB	0	2330	4/4	0
338	Intel Atom Z3736F	2MB	0	1330	4/4	0
339	Intel Atom Z3736G	2MB	0	1330	4/4	0
340	Intel Atom x5-Z8300	2MB	0	1440	4/4	0
